location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Rothenburg, Münster;2023-03-07 12:00:00 +0100;Tuesday;1450;2;snow;
Rothenburg, Münster;2023-03-07 13:00:00 +0100;Tuesday;1532;3;snow;
Rothenburg, Münster;2023-03-07 14:00:00 +0100;Tuesday;1599;3;snow;
Rothenburg, Münster;2023-03-07 15:00:00 +0100;Tuesday;1487;3;rain;
Rothenburg, Münster;2023-03-07 16:00:00 +0100;Tuesday;1415;2;snow;
Rothenburg, Münster;2023-03-07 17:00:00 +0100;Tuesday;1455;3;rain;
Rothenburg, Münster;2023-03-07 18:00:00 +0100;Tuesday;1103;3;rain;
Rothenburg, Münster;2023-03-07 19:00:00 +0100;Tuesday;665;3;rain;
Rothenburg, Münster;2023-03-07 20:00:00 +0100;Tuesday;344;2;rain;
Rothenburg, Münster;2023-03-07 21:00:00 +0100;Tuesday;218;2;rain;
Rothenburg, Münster;2023-03-07 22:00:00 +0100;Tuesday;159;2;rain;
Rothenburg, Münster;2023-03-07 23:00:00 +0100;Tuesday;51;2;partly-cloudy-night;
Rothenburg, Münster;2023-03-08 00:00:00 +0100;Wednesday;37;1;partly-cloudy-night;
Rothenburg, Münster;2023-03-08 01:00:00 +0100;Wednesday;8;1;partly-cloudy-night;
Rothenburg, Münster;2023-03-08 02:00:00 +0100;Wednesday;1;1;partly-cloudy-night;
Rothenburg, Münster;2023-03-08 03:00:00 +0100;Wednesday;7;1;partly-cloudy-night;
Rothenburg, Münster;2023-03-08 04:00:00 +0100;Wednesday;4;1;cloudy;
Rothenburg, Münster;2023-03-08 05:00:00 +0100;Wednesday;21;0;cloudy;
Rothenburg, Münster;2023-03-08 06:00:00 +0100;Wednesday;74;0;cloudy;
Rothenburg, Münster;2023-03-08 07:00:00 +0100;Wednesday;410;0;partly-cloudy-night;
Rothenburg, Münster;2023-03-08 08:00:00 +0100;Wednesday;718;0;cloudy;
Rothenburg, Münster;2023-03-08 09:00:00 +0100;Wednesday;985;0;cloudy;
Rothenburg, Münster;2023-03-08 10:00:00 +0100;Wednesday;1198;0;snow;
