location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Salzstraße (West), Münster;2023-03-05 06:00:00 +0100;Sunday;15;2;cloudy;
Salzstraße (West), Münster;2023-03-05 07:00:00 +0100;Sunday;28;2;cloudy;
Salzstraße (West), Münster;2023-03-05 08:00:00 +0100;Sunday;37;2;cloudy;
Salzstraße (West), Münster;2023-03-05 09:00:00 +0100;Sunday;97;2;cloudy;
Salzstraße (West), Münster;2023-03-05 10:00:00 +0100;Sunday;249;3;rain;
Salzstraße (West), Münster;2023-03-05 11:00:00 +0100;Sunday;282;3;cloudy;
Salzstraße (West), Münster;2023-03-05 12:00:00 +0100;Sunday;546;4;cloudy;
Salzstraße (West), Münster;2023-03-05 13:00:00 +0100;Sunday;583;5;cloudy;
Salzstraße (West), Münster;2023-03-05 14:00:00 +0100;Sunday;720;6;cloudy;
Salzstraße (West), Münster;2023-03-05 15:00:00 +0100;Sunday;749;6;cloudy;
Salzstraße (West), Münster;2023-03-05 16:00:00 +0100;Sunday;682;6;cloudy;
Salzstraße (West), Münster;2023-03-05 17:00:00 +0100;Sunday;516;6;cloudy;
Salzstraße (West), Münster;2023-03-05 18:00:00 +0100;Sunday;387;5;cloudy;
Salzstraße (West), Münster;2023-03-05 19:00:00 +0100;Sunday;218;4;cloudy;
Salzstraße (West), Münster;2023-03-05 20:00:00 +0100;Sunday;159;4;cloudy;
Salzstraße (West), Münster;2023-03-05 21:00:00 +0100;Sunday;93;3;cloudy;
Salzstraße (West), Münster;2023-03-05 22:00:00 +0100;Sunday;63;3;cloudy;
Salzstraße (West), Münster;2023-03-05 23:00:00 +0100;Sunday;25;2;cloudy;
Salzstraße (West), Münster;2023-03-06 00:00:00 +0100;Monday;14;2;cloudy;
Salzstraße (West), Münster;2023-03-06 01:00:00 +0100;Monday;7;2;cloudy;
Salzstraße (West), Münster;2023-03-06 02:00:00 +0100;Monday;4;2;cloudy;
