location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2023-03-06 11:00:00 +0100;Monday;1496;2;snow;
Ludgeristraße, Münster;2023-03-06 12:00:00 +0100;Monday;1983;2;snow;
Ludgeristraße, Münster;2023-03-06 13:00:00 +0100;Monday;2147;3;rain;
Ludgeristraße, Münster;2023-03-06 14:00:00 +0100;Monday;2005;4;cloudy;
Ludgeristraße, Münster;2023-03-06 15:00:00 +0100;Monday;2087;5;cloudy;
Ludgeristraße, Münster;2023-03-06 16:00:00 +0100;Monday;2275;5;cloudy;
Ludgeristraße, Münster;2023-03-06 17:00:00 +0100;Monday;2300;6;partly-cloudy-day;
Ludgeristraße, Münster;2023-03-06 18:00:00 +0100;Monday;1529;5;cloudy;
Ludgeristraße, Münster;2023-03-06 19:00:00 +0100;Monday;741;4;cloudy;
Ludgeristraße, Münster;2023-03-06 20:00:00 +0100;Monday;179;4;cloudy;
Ludgeristraße, Münster;2023-03-06 21:00:00 +0100;Monday;119;4;cloudy;
Ludgeristraße, Münster;2023-03-06 22:00:00 +0100;Monday;80;4;cloudy;
Ludgeristraße, Münster;2023-03-06 23:00:00 +0100;Monday;27;3;cloudy;
Ludgeristraße, Münster;2023-03-07 00:00:00 +0100;Tuesday;18;3;rain;
Ludgeristraße, Münster;2023-03-07 01:00:00 +0100;Tuesday;7;3;rain;
Ludgeristraße, Münster;2023-03-07 02:00:00 +0100;Tuesday;4;4;rain;
Ludgeristraße, Münster;2023-03-07 03:00:00 +0100;Tuesday;2;5;rain;
Ludgeristraße, Münster;2023-03-07 04:00:00 +0100;Tuesday;29;5;rain;
Ludgeristraße, Münster;2023-03-07 05:00:00 +0100;Tuesday;18;4;rain;
Ludgeristraße, Münster;2023-03-07 06:00:00 +0100;Tuesday;88;4;rain;
Ludgeristraße, Münster;2023-03-07 07:00:00 +0100;Tuesday;272;4;rain;
Ludgeristraße, Münster;2023-03-07 08:00:00 +0100;Tuesday;304;3;rain;
Ludgeristraße, Münster;2023-03-07 09:00:00 +0100;Tuesday;413;2;rain;
Ludgeristraße, Münster;2023-03-07 10:00:00 +0100;Tuesday;708;2;snow;
Ludgeristraße, Münster;2023-03-07 11:00:00 +0100;Tuesday;1216;2;snow;
