location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Alter Fischmarkt, Münster;2021-01-04 14:00:00 +0100;Monday;245;2;fog;
Alter Fischmarkt, Münster;2021-01-04 15:00:00 +0100;Monday;219;2;fog;
Alter Fischmarkt, Münster;2021-01-04 16:00:00 +0100;Monday;231;2;fog;
Alter Fischmarkt, Münster;2021-01-04 17:00:00 +0100;Monday;198;2;fog;
Alter Fischmarkt, Münster;2021-01-04 18:00:00 +0100;Monday;109;1;fog;
Alter Fischmarkt, Münster;2021-01-04 19:00:00 +0100;Monday;45;1;fog;
Alter Fischmarkt, Münster;2021-01-04 20:00:00 +0100;Monday;39;1;fog;
Alter Fischmarkt, Münster;2021-01-04 21:00:00 +0100;Monday;23;1;fog;
Alter Fischmarkt, Münster;2021-01-04 22:00:00 +0100;Monday;10;1;fog;
Alter Fischmarkt, Münster;2021-01-04 23:00:00 +0100;Monday;14;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 00:00:00 +0100;Tuesday;2;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 01:00:00 +0100;Tuesday;2;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 02:00:00 +0100;Tuesday;1;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 03:00:00 +0100;Tuesday;1;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 04:00:00 +0100;Tuesday;3;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 05:00:00 +0100;Tuesday;16;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 06:00:00 +0100;Tuesday;29;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 07:00:00 +0100;Tuesday;85;1;fog;
Alter Fischmarkt, Münster;2021-01-05 08:00:00 +0100;Tuesday;131;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 09:00:00 +0100;Tuesday;163;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 10:00:00 +0100;Tuesday;220;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 11:00:00 +0100;Tuesday;233;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 12:00:00 +0100;Tuesday;233;2;cloudy;
Alter Fischmarkt, Münster;2021-01-05 13:00:00 +0100;Tuesday;226;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 14:00:00 +0100;Tuesday;251;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 15:00:00 +0100;Tuesday;299;3;cloudy;
Alter Fischmarkt, Münster;2021-01-05 16:00:00 +0100;Tuesday;306;2;rain;
Alter Fischmarkt, Münster;2021-01-05 17:00:00 +0100;Tuesday;216;2;rain;
Alter Fischmarkt, Münster;2021-01-05 18:00:00 +0100;Tuesday;115;2;rain;
Alter Fischmarkt, Münster;2021-01-05 19:00:00 +0100;Tuesday;42;1;cloudy;
Alter Fischmarkt, Münster;2021-01-05 20:00:00 +0100;Tuesday;41;2;cloudy;
Alter Fischmarkt, Münster;2021-01-05 21:00:00 +0100;Tuesday;31;2;cloudy;
Alter Fischmarkt, Münster;2021-01-05 22:00:00 +0100;Tuesday;21;2;cloudy;
Alter Fischmarkt, Münster;2021-01-05 23:00:00 +0100;Tuesday;15;2;rain;
Alter Fischmarkt, Münster;2021-01-06 00:00:00 +0100;Wednesday;3;2;cloudy;
Alter Fischmarkt, Münster;2021-01-06 01:00:00 +0100;Wednesday;1;2;cloudy;
Alter Fischmarkt, Münster;2021-01-06 02:00:00 +0100;Wednesday;1;2;cloudy;
Alter Fischmarkt, Münster;2021-01-06 03:00:00 +0100;Wednesday;2;2;cloudy;
Alter Fischmarkt, Münster;2021-01-06 04:00:00 +0100;Wednesday;0;2;cloudy;
Alter Fischmarkt, Münster;2021-01-06 05:00:00 +0100;Wednesday;12;2;cloudy;
Alter Fischmarkt, Münster;2021-01-06 06:00:00 +0100;Wednesday;48;2;cloudy;
Alter Fischmarkt, Münster;2021-01-06 07:00:00 +0100;Wednesday;127;1;rain;
Alter Fischmarkt, Münster;2021-01-06 08:00:00 +0100;Wednesday;201;1;rain;
Alter Fischmarkt, Münster;2021-01-06 09:00:00 +0100;Wednesday;314;1;rain;
Alter Fischmarkt, Münster;2021-01-06 10:00:00 +0100;Wednesday;442;1;cloudy;
Alter Fischmarkt, Münster;2021-01-06 11:00:00 +0100;Wednesday;511;1;cloudy;
Alter Fischmarkt, Münster;2021-01-06 12:00:00 +0100;Wednesday;522;2;cloudy;
