location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2019-01-05 06:00:00 +0100;Saturday;53;7;rain;
Ludgeristraße, Münster;2019-01-05 07:00:00 +0100;Saturday;85;7;rain;
Ludgeristraße, Münster;2019-01-05 08:00:00 +0100;Saturday;142;7;rain;
Ludgeristraße, Münster;2019-01-05 09:00:00 +0100;Saturday;611;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-05 10:00:00 +0100;Saturday;1911;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-05 11:00:00 +0100;Saturday;3490;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-05 12:00:00 +0100;Saturday;4565;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-05 13:00:00 +0100;Saturday;5441;8;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-05 14:00:00 +0100;Saturday;5554;8;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-05 15:00:00 +0100;Saturday;5619;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-05 16:00:00 +0100;Saturday;5380;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-05 17:00:00 +0100;Saturday;4339;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-05 18:00:00 +0100;Saturday;2900;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-05 19:00:00 +0100;Saturday;1585;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-05 20:00:00 +0100;Saturday;524;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-05 21:00:00 +0100;Saturday;266;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-05 22:00:00 +0100;Saturday;188;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-05 23:00:00 +0100;Saturday;112;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 00:00:00 +0100;Sunday;114;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 01:00:00 +0100;Sunday;77;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 02:00:00 +0100;Sunday;40;7;rain;
Ludgeristraße, Münster;2019-01-06 03:00:00 +0100;Sunday;55;7;rain;
Ludgeristraße, Münster;2019-01-06 04:00:00 +0100;Sunday;29;7;rain;
Ludgeristraße, Münster;2019-01-06 05:00:00 +0100;Sunday;16;7;rain;
Ludgeristraße, Münster;2019-01-06 06:00:00 +0100;Sunday;20;7;rain;
Ludgeristraße, Münster;2019-01-06 07:00:00 +0100;Sunday;13;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 08:00:00 +0100;Sunday;31;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 09:00:00 +0100;Sunday;80;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-06 10:00:00 +0100;Sunday;112;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-06 11:00:00 +0100;Sunday;186;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-06 12:00:00 +0100;Sunday;281;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-06 13:00:00 +0100;Sunday;347;7;fog;
Ludgeristraße, Münster;2019-01-06 14:00:00 +0100;Sunday;479;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-06 15:00:00 +0100;Sunday;645;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-06 16:00:00 +0100;Sunday;722;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-06 17:00:00 +0100;Sunday;455;6;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 18:00:00 +0100;Sunday;322;6;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 19:00:00 +0100;Sunday;234;6;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 20:00:00 +0100;Sunday;120;6;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 21:00:00 +0100;Sunday;55;6;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 22:00:00 +0100;Sunday;107;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-06 23:00:00 +0100;Sunday;41;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-07 00:00:00 +0100;Monday;22;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-07 01:00:00 +0100;Monday;15;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-07 02:00:00 +0100;Monday;4;5;partly-cloudy-night;
